rfc,viewportWidth,rootFontSizePx,token,url,wbrCount,containerTag,containerChain,intrinsicWidthPx,availableWidthPx,fitsUnbroken,hasUnderscore,hasCamelCase,exceedsLengthGate,looksLikeUrl
8650,320,16,https://www.rfc-editor.org/info/rfc8650,https://www.rfc-editor.org/info/rfc8650/#section-boilerplate.1-3,6,p,div>section>p,303,296,false,false,false,true,true
8650,320,16,https://trustee.ietf.org/license-info,https://www.rfc-editor.org/info/rfc8650/#section-boilerplate.2-2,5,p,div>section>p,260,296,true,false,false,true,true
8650,320,16,"""establish-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3-2,1,p,div>section>p,179,296,true,false,false,true,false
8650,320,16,"""establish-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3-2,1,p,div>section>p,179,296,true,false,false,true,false
8650,320,16,"""establish-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3-2,1,p,div>section>p,179,296,true,false,false,true,false
8650,320,16,subscription-related,https://www.rfc-editor.org/info/rfc8650/#section-3.1-4,1,p,div>section>section>p,153,296,true,false,false,true,false
8650,320,16,ietf-subscribed-notifications.yang,https://www.rfc-editor.org/info/rfc8650/#section-3.2-1,3,p,div>section>section>p,257,296,true,false,false,true,false
8650,320,16,ietf-restconf-monitoring.yang,https://www.rfc-editor.org/info/rfc8650/#section-3.2-1,3,p,div>section>section>p,225,296,true,false,false,true,false
8650,320,16,ietf-restconf-monitoring.yang,https://www.rfc-editor.org/info/rfc8650/#section-3.2-1,3,p,div>section>section>p,225,296,true,false,false,true,false
8650,320,16,ietf-restconf-monitoring.yang.,https://www.rfc-editor.org/info/rfc8650/#section-3.2-1,4,p,div>section>section>p,229,296,true,false,false,true,false
8650,320,16,encoding-unsupported,https://www.rfc-editor.org/info/rfc8650/#table-1,1,td,div>div>table>tbody>tr>td,174,105,false,false,false,true,false
8650,320,16,filter-unsupported,https://www.rfc-editor.org/info/rfc8650/#table-1,1,td,div>div>table>tbody>tr>td,138,105,false,false,false,true,false
8650,320,16,insufficient-resources,https://www.rfc-editor.org/info/rfc8650/#table-1,1,td,div>div>table>tbody>tr>td,164,105,false,false,false,true,false
8650,320,16,no-such-subscription,https://www.rfc-editor.org/info/rfc8650/#table-1,2,td,div>div>table>tbody>tr>td,161,105,false,false,false,true,false
8650,320,16,replay-unsupported,https://www.rfc-editor.org/info/rfc8650/#table-1,1,td,div>div>table>tbody>tr>td,151,105,false,false,false,true,false
8650,320,16,operation-not-supported,https://www.rfc-editor.org/info/rfc8650/#table-1,2,td,div>div>table>tbody>tr>td,191,92,false,false,false,true,false
8650,320,16,Datastore-Specific,https://www.rfc-editor.org/info/rfc8650/#table-2,1,caption,section>div>div>div>table>caption,142,288,true,false,false,true,false
8650,320,16,operation-not-supported,https://www.rfc-editor.org/info/rfc8650/#table-2,2,td,div>div>table>tbody>tr>td,191,89,false,false,false,true,false
8650,320,16,datastore-not-subscribable,https://www.rfc-editor.org/info/rfc8650/#table-2,2,td,div>div>table>tbody>tr>td,208,110,false,false,false,true,false
8650,320,16,no-such-subscription-resync,https://www.rfc-editor.org/info/rfc8650/#table-2,3,td,div>div>table>tbody>tr>td,218,110,false,false,false,true,false
8650,320,16,on-change-unsupported,https://www.rfc-editor.org/info/rfc8650/#table-2,2,td,div>div>table>tbody>tr>td,185,110,false,false,false,true,false
8650,320,16,operation-not-supported,https://www.rfc-editor.org/info/rfc8650/#table-2,2,td,div>div>table>tbody>tr>td,191,89,false,false,false,true,false
8650,320,16,on-change-sync-unsupported,https://www.rfc-editor.org/info/rfc8650/#table-2,3,td,div>div>table>tbody>tr>td,227,110,false,false,false,true,false
8650,320,16,operation-not-supported,https://www.rfc-editor.org/info/rfc8650/#table-2,2,td,div>div>table>tbody>tr>td,191,89,false,false,false,true,false
8650,320,16,period-unsupported,https://www.rfc-editor.org/info/rfc8650/#table-2,1,td,div>div>table>tbody>tr>td,153,110,false,false,false,true,false
8650,320,16,unchanging-selection,https://www.rfc-editor.org/info/rfc8650/#table-2,1,td,div>div>table>tbody>tr>td,162,110,false,false,false,true,false
8650,320,16,establish-subscription,https://www.rfc-editor.org/info/rfc8650/#table-3,1,td,div>div>table>tbody>tr>td,167,121,false,false,false,true,false
8650,320,16,establish-subscription-error,https://www.rfc-editor.org/info/rfc8650/#table-3,2,td,div>div>table>tbody>tr>td,211,149,false,false,false,true,false
8650,320,16,modify-subscription,https://www.rfc-editor.org/info/rfc8650/#table-3,1,td,div>div>table>tbody>tr>td,153,121,false,false,false,true,false
8650,320,16,modify-subscription-error,https://www.rfc-editor.org/info/rfc8650/#table-3,2,td,div>div>table>tbody>tr>td,197,149,false,false,false,true,false
8650,320,16,delete-subscription,https://www.rfc-editor.org/info/rfc8650/#table-3,1,td,div>div>table>tbody>tr>td,147,121,false,false,false,true,false
8650,320,16,delete-subscription-error,https://www.rfc-editor.org/info/rfc8650/#table-3,2,td,div>div>table>tbody>tr>td,191,149,false,false,false,true,false
8650,320,16,kill-subscription,https://www.rfc-editor.org/info/rfc8650/#table-3,1,td,div>div>table>tbody>tr>td,121,121,true,false,false,true,false
8650,320,16,delete-subscription-error,https://www.rfc-editor.org/info/rfc8650/#table-3,2,td,div>div>table>tbody>tr>td,191,149,false,false,false,true,false
8650,320,16,resync-subscription,https://www.rfc-editor.org/info/rfc8650/#table-3,1,td,div>div>table>tbody>tr>td,150,121,false,false,false,true,false
8650,320,16,resync-subscription-error,https://www.rfc-editor.org/info/rfc8650/#table-3,2,td,div>div>table>tbody>tr>td,194,149,false,false,false,true,false
8650,320,16,<modulename>:<identityname>.,https://www.rfc-editor.org/info/rfc8650/#section-3.3-8,2,p,div>section>section>p,247,296,true,false,false,true,false
8650,320,16,"""ietf-subscribed-notifications:no-such-subscription"".",https://www.rfc-editor.org/info/rfc8650/#section-3.3-8,6,p,div>section>section>p,396,296,false,false,false,true,false
8650,320,16,"""establish-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3.3-9,1,p,div>section>section>p,179,296,true,false,false,true,false
8650,320,16,"""modify-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3.3-9,1,p,div>section>section>p,165,296,true,false,false,true,false
8650,320,16,"""establish-subscription""",https://www.rfc-editor.org/info/rfc8650/#table-4,1,caption,section>div>div>div>table>caption,179,288,true,false,false,true,false
8650,320,16,establish-subscription-stream-error-info,https://www.rfc-editor.org/info/rfc8650/#table-4,4,td,div>div>table>tbody>tr>td,305,187,false,false,false,true,false
8650,320,16,establish-subscription-datastore-error-info,https://www.rfc-editor.org/info/rfc8650/#table-4,4,td,div>div>table>tbody>tr>td,326,187,false,false,false,true,false
8650,320,16,"""modify-subscription""",https://www.rfc-editor.org/info/rfc8650/#table-5,1,caption,section>div>div>div>table>caption,165,288,true,false,false,true,false
8650,320,16,modify-subscription-stream-error-info,https://www.rfc-editor.org/info/rfc8650/#table-5,4,td,div>div>table>tbody>tr>td,291,186,false,false,false,true,false
8650,320,16,modify-subscription-datastore-error-info,https://www.rfc-editor.org/info/rfc8650/#table-5,4,td,div>div>table>tbody>tr>td,312,186,false,false,false,true,false
8650,320,16,"""error-app-tag"".",https://www.rfc-editor.org/info/rfc8650/#section-3.3-12,3,p,div>section>section>p,119,296,true,false,false,false,false
8650,320,16,"""delete-subscription"",",https://www.rfc-editor.org/info/rfc8650/#section-3.3-13,1,p,div>section>section>p,162,296,true,false,false,true,false
8650,320,16,"""kill-subscription"",",https://www.rfc-editor.org/info/rfc8650/#section-3.3-13,1,p,div>section>section>p,136,296,true,false,false,true,false
8650,320,16,"""resync-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3.3-13,1,p,div>section>section>p,162,296,true,false,false,true,false
8650,320,16,"""subscription-id""",https://www.rfc-editor.org/info/rfc8650/#section-3.3-13,1,p,div>section>section>p,126,296,true,false,false,true,false
8650,320,16,"""establish-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3.4-1,1,p,div>section>div>section>p,179,296,true,false,false,true,false
8650,320,16,"""modify-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3.4-6.3,1,li,div>section>div>section>ul>li,165,264,true,false,false,true,false
8650,320,16,"""subscription-modified""",https://www.rfc-editor.org/info/rfc8650/#section-3.4-6.3,1,li,div>section>div>section>ul>li,179,264,true,false,false,true,false
8650,320,16,"""modify-subscription"",",https://www.rfc-editor.org/info/rfc8650/#section-3.4-6.4,1,li,div>section>div>section>ul>li,168,264,true,false,false,true,false
8650,320,16,"""resync-subscription"",",https://www.rfc-editor.org/info/rfc8650/#section-3.4-6.4,1,li,div>section>div>section>ul>li,165,264,true,false,false,true,false
8650,320,16,"""delete-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3.4-6.4,1,li,div>section>div>section>ul>li,159,264,true,false,false,true,false
8650,320,16,"""establish-subscription"".",https://www.rfc-editor.org/info/rfc8650/#section-3.4-6.4,2,li,div>section>div>section>ul>li,182,264,true,false,false,true,false
8650,320,16,"""kill-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3.4-6.5,1,li,div>section>div>section>ul>li,133,264,true,false,false,true,false
8650,320,16,"""delete-subscription""",https://www.rfc-editor.org/info/rfc8650/#section-3.4-8.1,1,li,div>section>div>section>ul>li,159,264,true,false,false,true,false
